sku,alchool,alt_image,animal,area,australian_like,awards,blended_grapes,bottleml,box_size,cellar_practice,country_of_manufacture,cost,custom_block,custom_label,filtration,florealnew,fruit,international_awards,is_featured,kind,kind_byo_organic,main_grape,manufacturer,method,mineral,myob_btb,myob_btc_h,oak1,pairing,price,product_name,region,second_fermentation,sparkling_residual_sugar,spontaneous_fermentation1,skin_contact,sku_short,spice,stripe_sub_enabled,sw_featured,tastingnotes,vegetal,vineyard_management,Vntg,wild_ferment,wine_producer
BERTIN,"alchool=4.8,alt_image=/l/e/les_bieres_du_grand_saint_bernard_napea.png,bottleml=330,box_size=24,kind_byo_organic=Conventional Wine,manufacturer=Les Bieres Du Grand Saint Bernard,mayob_btb=44040,myob_btc_h=44050,pairing=Poultry,region=Valle D'Aosta,sku_short=BERTIN,stripe_sub_enabled=No,style=Lager,sw_featured=No,tastingnotes= Artisan Beer Un-pasteurised",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALRON,"alchool=15,alt_image=/w/a/walcher_rondo_walron.png,bottleml=700,box_size=6,manufacturer=Walcher,mayob_btb=44040,myob_btc_h=44050,organic=No,region=Alto Adige,sku_short=WALRON,stripe_sub_enabled=No,sw_featured=No,tastingnotes=Bla ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLRAT,"alchool=25,bottleml=700,box_size=6,manufacturer=Colazingari,mayob_btb=44040,myob_btc_h=44050,organic=No,region=Lazio,sku_short=COLRAT,stripe_sub_enabled=No,sw_featured=No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALARA,"alchool=28,alt_image=/w/a/walcher_anima_dellarancia_walara.png,bottleml=700,box_size=6,manufacturer=Walcher,mayob_btb=44040,myob_btc_h=44050,organic=No,region=Alto Adige,sku_short=WALARA,stripe_sub_enabled=No,sw_featured=No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCLICEN1,"alchool=43,alt_image=/r/i/ricci_curbastro_licenza_n_1_rclicen1.png,bottleml=500,box_size=3,manufacturer=Ricci Curbastro,mayob_btb=44040,myob_btc_h=44050,organic=No,region=Lombardia ,sku_short=RCLICEN1,stripe_sub_enabled=No,sw_featured=No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLSAM,"alchool=40,bottleml=700,box_size=6,manufacturer=Colazingari,mayob_btb=44040,myob_btc_h=44050,organic=No,region=Lazio,sku_short=COLSAM,stripe_sub_enabled=No,sw_featured=No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLFILFER,"alchool=40,alt_image=/d/i/dilfer_distillerie_lussurgesi_filu_e_fero.jpg,bottleml=700,box_size=6,manufacturer=Distillerie Lussurgesi,mayob_btb=44040,myob_btc_h=44050,organic=No,region=Sardegna,sku_short=DLFILFER,stripe_sub_enabled=No,sw_featured=No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALVOD,"alt_image=/w/a/walcher_vodka_walvod.jpg,bottleml=700,box_size=6,manufacturer=Walcher,mayob_btb=44040,myob_btc_h=44050,organic=No,region=Alto Adige,sku_short=WALVOD,stripe_sub_enabled=No,sw_featured=No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALAMA,"alchool=28,alt_image=/w/a/walcher_amaretto_walama.png,bottleml=700,box_size=6,filtration=No,fruit=5,kind_byo_organic=Conventional Wine,manufacturer=Walcher,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,organic=Yes,pairing=Poultry,region=Alto Adige,skin_contact=No,sku_short=WALAMA,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,wine_producer=Walcher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALFER,"alt_image=/w/a/walcher_fernet_walfer.png,bottleml=500,box_size=6,manufacturer=Walcher,mayob_btb=44040,myob_btc_h=44050,organic=No,region=Alto Adige,sku_short=WALFER,stripe_sub_enabled=No,sw_featured=No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALVIT,"alt_image=/w/a/walcher_la_vita_e_bella_gin_walvit.png,box_size=6,filtration=No,fruit=5,kind_byo_organic=Conventional Wine,manufacturer=Walcher,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,organic=Yes,pairing=Poultry,region=Alto Adige,skin_contact=No,sku_short=WALVIT,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,wine_producer=Walcher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALSOL,"alt_image=/w/a/walcher_sole_e_luna_gin_walsol.png,bottleml=500,box_size=6,manufacturer=Walcher,mayob_btb=44040,myob_btc_h=44050,organic=No,region=Alto Adige,sku_short=WALSOL,stripe_sub_enabled=No,sw_featured=No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALBIT,"alt_image=/w/a/walcher_bitter_bio_25_walbit.jpg,bottleml=750,box_size=6,manufacturer=Walcher,mayob_btb=44040,myob_btc_h=44050,organic=No,region=Alto Adige,sku_short=WALBIT,stripe_sub_enabled=No,sw_featured=No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADDON17,"bottleml=750,box_size=12,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Nebbiolo,manufacturer=Cave De Donnas,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Valle D'Aosta,skin_contact=No,sku_short=CADDON,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=Yes,vineyard_management=Sustainable,Vntg=2017,wine_producer=Caves De Donnas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IARFUM10,"alt_image=/i/n/institute_agrciole_regional_fumin_iarfum10_1.jpg,bottleml=750,box_size=12,cellar_practice=Barrel aged|Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Fumin,manufacturer=Institut Agricole Regional,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Valle D'Aosta,skin_contact=No,sku_short=IARFUM,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2010,wine_producer=Institut Agricole Regional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IARVUI15,"bottleml=750,box_size=6,cellar_practice=Barrel aged|Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Vuillermin,manufacturer=Institut Agricole Regional,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Valle D'Aosta,skin_contact=No,sku_short=IARVUI,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2015,wine_producer=Institut Agricole Regional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOBARB18,"bottleml=750,box_size=12,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Barbera,manufacturer=Andrea Oberto,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=AOBARB,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2018,wine_producer=Andrea Oberto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBRIE17,"bottleml=750,box_size=6,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Riesling,manufacturer=Anna Maria Abbona,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=ABBRIE,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2017,wine_producer=Anna Maria Abbona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBRIE18,"bottleml=750,box_size=6,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Riesling,manufacturer=Anna Maria Abbona,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=ABBRIE,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=Yes,vineyard_management=Sustainable,Vntg=2018,wine_producer=Anna Maria Abbona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBBUT18,"bottleml=750,box_size=12,cellar_practice=Conventional|Unwooded,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Dolcetto,manufacturer=Anna Maria Abbona,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=ABBBUT,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2018,wine_producer=Anna Maria Abbona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBBUT19,"alt_image=/a/n/anna_maria_abbona_sori_dij_but_abbbut19.png,bottleml=750,box_size=12,cellar_practice=Conventional|Unwooded,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Dolcetto,manufacturer=Anna Maria Abbona,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=ABBBUT,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2019,wine_producer=Anna Maria Abbona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBNEB18,"bottleml=750,box_size=6,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Nebbiolo,manufacturer=Anna Maria Abbona,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=ABBNEB,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2018,wine_producer=Anna Maria Abbona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORVIS18,"area=Roero,bottleml=750,box_size=12,cellar_practice=Minimum S02|Unfiltered|Wild ferment,filtration=Yes,fruit=5,kind_byo_organic=Biodynamic Wine,main_grape=Nebbiolo,manufacturer=Cascina Fornace,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=FORVIS,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Biodynamic,Vntg=2018,wine_producer=Cascina Fornace",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLBAR19,"alt_image=/l/a/la_colombera_veja_rampana_colbar18_1.png,area=Monferrato,bottleml=750,box_size=12,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Barbera,manufacturer=La Colombera,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=COLBAR,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2019,wine_producer=La Colombera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLCRO18,"alt_image=/c/o/colcro19_la_colombera_croatina-romba.png,bottleml=750,box_size=12,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Croatina,manufacturer=La Colombera,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=COLCRO,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2018,wine_producer=La Colombera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARMOR18,"bottleml=750,box_size=12,cellar_practice=Minimum S02|Unfiltered|Unwooded,filtration=Yes,fruit=5,kind_byo_organic=Biodynamic Wine,main_grape=Barbera,manufacturer=Laiolo Reginin,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=LARMOR,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=Laiolo Reginin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAGRI17,"bottleml=750,box_size=12,cellar_practice=Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Grignolino,manufacturer=Laiolo Reginin,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=LAGRI,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2017,wine_producer=Laiolo Reginin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADTIU,"bottleml=500,box_size=6,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Nebbiolo,manufacturer=Cave De Donnas,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Valle D'Aosta,skin_contact=No,sku_short=CADTIU,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,wine_producer=Caves De Donnas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGMOSH20,"alt_image=/p/i/pierto_gatti_moscato_750_pgmos20.png,area=Cuneo,bottleml=375,box_size=12,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Moscato,manufacturer=Piero Gatti,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,second_fermentation=Tank (Metodo Martinotti),skin_contact=No,sku_short=PGMOSH,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2020,wine_producer=Piero Gatti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGBRA20,"area=Cuneo,bottleml=750,box_size=6,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Brachetto,manufacturer=Piero Gatti,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,second_fermentation=Tank (Metodo Martinotti),skin_contact=No,sku_short=PGBRA,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2020,wine_producer=Piero Gatti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGBRASH19,"area=Cuneo,bottleml=375,box_size=12,cellar_practice=Conventional,filtration=Yes,fruit=1,kind_byo_organic=Conventional Wine,main_grape=Brachetto,manufacturer=Piero Gatti,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,second_fermentation=Tank (Metodo Martinotti),skin_contact=No,sku_short=PGBRASHI,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2019,wine_producer=Piero Gatti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNNEH18,"alt_image=/p/u/punset_neh_punneh18.jpg,area=Barbaresco,blended_grapes=Barbera|Nebbiolo,bottleml=750,box_size=12,cellar_practice=Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Dolcetto,manufacturer=Punset,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=PUNNEH,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=Punset",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNBAS14,"alt_image=/p/u/punbas14_punset_barbaresco.png,area=Barbaresco,bottleml=750,box_size=6,cellar_practice=Barrel aged|Minimum S02|Unfiltered,filtration=Yes,fruit=5,kind_byo_organic=Organic Wine,main_grape=Nebbiolo,manufacturer=Punset,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=PUNBAS,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2014,wine_producer=Punset",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIGFRE13,"alt_image=/m/i/migfre13_tenuta_migliavacca_freisa_2.jpg,area=Monferrato,bottleml=750,box_size=6,cellar_practice=Minimum S02|Unfiltered|Wild ferment,filtration=Yes,fruit=5,kind_byo_organic=Organic Wine,main_grape=Freisa,manufacturer=Tenuta Migliavacca,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=MIGFRE,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Biodynamic,Vntg=2013,wine_producer=Tenuta Migliavacca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENSP13,"area=Cellatica,bottleml=750,box_size=6,cellar_practice=Barrel fermented|Minimum S02,filtration=No,fruit=5,kind_byo_organic=Biodynamic Wine,main_grape=Chardonnay,manufacturer=Ca' Del Vent,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Lombardia ,second_fermentation=Bottle (Metodo Classico)|38 months on lees,skin_contact=No,sku_short=VENSP,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Biodynamic,Vntg=2013,wine_producer=Ca' Del Vent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENBLA13,"alt_image=/v/e/venbla13_ca_del_vent_sogno_1.jpeg,area=Cellatica,bottleml=750,box_size=6,cellar_practice=Barrel fermented|Minimum S02,filtration=No,fruit=5,kind_byo_organic=Biodynamic Wine,main_grape=Chardonnay,manufacturer=Ca' Del Vent,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Lombardia ,second_fermentation=Bottle (Metodo Classico)|38 months on lees,skin_contact=No,sku_short=VENBLA,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Biodynamic,Vntg=2013,wine_producer=Ca' Del Vent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENMEM13,"blended_grapes=Pinot Nero,bottleml=750,box_size=3,cellar_practice=Barrel fermented|Minimum S02,filtration=Yes,fruit=5,kind_byo_organic=Biodynamic Wine,main_grape=Chardonnay,manufacturer=Ca' Del Vent,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Lombardia ,second_fermentation=Bottle (Metodo Classico)|35 months on lees,skin_contact=No,sku_short=VENMEM,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Biodynamic,Vntg=2013,wine_producer=Ca' Del Vent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
